Country,Brand,Model,Storage Variant,Color1,Color2,Color3,Color4,Color5,Color6,Color7,Color8,Color9,Color10,Color11
DE,Samsung,A34,128 GB,Graphite,Lime,Violet,White,,,,,,,
DE,Samsung,A34,256 GB,Graphite,Lime,Violet,White,,,,,,,
DE,Samsung,A52,128 GB,Black,Mint,Violet,White,,,,,,,
DE,Samsung,A52,256 GB,Black,Mint,Violet,White,,,,,,,
DE,Samsung,A53,128 GB,Awesome Black,Awesome Blue,Awesome Peach,Awesome White,Black,Blue,Peach,White,Peach,White,
DE,Samsung,A53,256 GB,Awesome Black,Awesome Blue,Awesome Peach,Awesome White,Black,Blue,Peach,White,Peach,White,
DE,Samsung,A54,128 GB,Graphite,Lime,Violet,Graphite,Lime,Violet,White,,,,
DE,Samsung,A54,256 GB,Graphite,Lime,Violet,Graphite,Lime,Violet,White,,,,
DE,Apple,i13,128 GB,Blue,Green,Midnight,Polaris,Red,Rose,Green,Midnight,Polaris,Red,Rose
DE,Apple,i13,256 GB,Blue,Green,Midnight,Polaris,Red,Rose,Green,Midnight,Polaris,Red,Rose
DE,Apple,i13,512 GB,Blue,Green,Midnight,Polaris,Red,Rose,Green,Midnight,Polaris,Red,Rose
DE,Apple,i13 Mini,128 GB,Blue,Green,Midnight,Polaris,Red,Rose,Green,Midnight,Polaris,Red,Rose
DE,Apple,i13 Mini,256 GB,Blue,Green,Midnight,Polaris,Red,Rose,,,,,
DE,Apple,i13 Mini,512 GB,Blue,Green,Midnight,Polaris,Red,Rose,,,,,
DE,Apple,i13 Pro,1 TB,Blue,Gold,Graphite,Green,Silver,,,,,,
DE,Apple,i13 Pro,128 GB,Blue,Gold,Graphite,Green,Silver,,,,,,
DE,Apple,i13 Pro,256 GB,Blue,Gold,Graphite,Green,Silver,,,,,,
DE,Apple,i13 Pro,512 GB,Blue,Gold,Graphite,Green,Silver,,,,,,
DE,Apple,i13 Pro Max,1 TB,Blue,Gold,Graphite,Green,Silver,,,,,,
DE,Apple,i13 Pro Max,128 GB,Blue,Gold,Graphite,Green,Silver,,,,,,
DE,Apple,i13 Pro Max,256 GB,Blue,Gold,Graphite,Green,Silver,,,,,,
DE,Apple,i13 Pro Max,512 GB,Blue,Gold,Graphite,Green,Silver,,,,,,
DE,Apple,i14,128 GB,Blue,Gold,Midnight,Polaris,Red,Violet,Yellow,,,,
DE,Apple,i14,256 GB,Blue,Gold,Midnight,Polaris,Red,Violet,Yellow,,,,
DE,Apple,i14,512 GB,Blue,Gold,Midnight,Polaris,Red,Violet,Yellow,,,,
DE,Apple,i14 Plus,128 GB,Blue,Gold,Midnight,Polaris,Red,Violet,Yellow,,,,
DE,Apple,i14 Plus,256 GB,Blue,Gold,Midnight,Polaris,Red,Violet,Yellow,,,,
DE,Apple,i14 Plus,512 GB,Blue,Gold,Midnight,Polaris,Red,Violet,Yellow,,,,
DE,Apple,i14 Pro,1 TB,Dark Purple,Gold,Silver,Space Black,,,,,,,
DE,Apple,i14 Pro,128 GB,Dark Purple,Gold,Silver,Space Black,,,,,,,
DE,Apple,i14 Pro,256 GB,Dark Purple,Gold,Silver,Space Black,,,,,,,
DE,Apple,i14 Pro,512 GB,Dark Purple,Gold,Silver,Space Black,,,,,,,
DE,Apple,i14 Pro Max,1 TB,Dark Purple,Gold,Silver,Space Black,,,,,,,
DE,Apple,i14 Pro Max,128 GB,Dark Purple,Gold,Silver,Space Black,,,,,,,
