Country,Brannd,Model,Storage Variant,Color 1,Color 2,Color 3,Color 4,Color 5,Color 6,Color 7,Color 8,Color 9,Color 10,Color 11,Color 12,Color 13,Color 14
Austria,Samsung,A34,128 GB,Awesome Graphite,Awesome Lime,Awesome Silver,Awesome Violet,Awesome White,,,,,,,,,
Austria,Samsung,A34,256 GB,Awesome Graphite,Awesome Lime,Awesome Silver,Awesome Violet,,,,,,,,,,
Austria,Samsung,A54,128 GB,Awesome Graphite,Awesome Lime,Awesome Violet,Awesome White,Green,,,,,,,,,
Austria,Samsung,A54,256 GB,Awesome Graphite,Awesome Violet,Awesome White,Green,,,,,,,,,,
Austria,Apple,i13,128 GB,(PRODUCT) RED,Blue,Green,Midnight,Pink,Starlight,,,,,,,,
Austria,Apple,i13,256 GB,(PRODUCT) RED,Blue,Green,Midnight,Pink,Starlight,,,,,,,,
Austria,Apple,i13,512 GB,(PRODUCT) RED,Blue,Green,Midnight,Pink,Starlight,,,,,,,,
Austria,Apple,i13 Mini,128 GB,(PRODUCT) RED,Blue,Green,Midnight,Pink,Starlight,,,,,,,,
Austria,Apple,i13 Mini,256 GB,(PRODUCT) RED,Blue,Green,Midnight,Pink,Starlight,,,,,,,,
Austria,Apple,i13 Mini,512 GB,(PRODUCT) RED,Blue,Green,Midnight,Pink,Starlight,,,,,,,,
Austria,Apple,i13 Pro,1 TB,Gold,Graphite,Sierra Blue,Silver,,,,,,,,,,
Austria,Apple,i13 Pro,128 GB,Gold,Graphite,Sierra Blue,Silver,,,,,,,,,,
Austria,Apple,i13 Pro,256 GB,Gold,Graphite,Sierra Blue,Silver,,,,,,,,,,
Austria,Apple,i13 Pro,512 GB,Gold,Graphite,Sierra Blue,Silver,,,,,,,,,,
Austria,Apple,i13 Pro Max,1 TB,Gold,Graphite,Sierra Blue,Silver,,,,,,,,,,
Austria,Apple,i13 Pro Max,128 GB,Gold,Graphite,Sierra Blue,Silver,,,,,,,,,,
Austria,Apple,i13 Pro Max,256 GB,Gold,Graphite,Sierra Blue,Silver,,,,,,,,,,
Austria,Apple,i13 Pro Max,512 GB,Gold,Graphite,Sierra Blue,Silver,,,,,,,,,,
Austria,Apple,i14,128 GB,(PRODUCT) RED,Blue,Midnight,Polaris,Purple,Starlight,Violet,Yellow,,,,,,
Austria,Apple,i14,256 GB,(PRODUCT) RED,Blue,Midnight,Polaris,Purple,Starlight,Violet,Yellow,,,,,,
Austria,Apple,i14,512 GB,(PRODUCT) RED,Blue,Midnight,Polaris,Purple,Starlight,Violet,Yellow,,,,,,
Austria,Apple,i14 Plus,128 GB,(PRODUCT) RED,Blue,Midnight,Polaris,Purple,Starlight,Violet,Yellow,,,,,,
Austria,Apple,i14 Plus,256 GB,(PRODUCT) RED,Blue,Midnight,Polaris,Purple,Starlight,Violet,Yellow,,,,,,
Austria,Apple,i14 Plus,512 GB,(PRODUCT) RED,Blue,Midnight,Polaris,Purple,Starlight,Violet,Yellow,,,,,,
Austria,Apple,i14 Pro,1 TB,Deep Purple,Gold,Silver,Space Black,,,,,,,,,,
Austria,Apple,i14 Pro,128 GB,Deep Purple,Gold,Silver,Space Black,,,,,,,,,,
Austria,Apple,i14 Pro,256 GB,Deep Purple,Gold,Silver,Space Black,,,,,,,,,,
Austria,Apple,i14 Pro,512 GB,Deep Purple,Gold,Silver,Space Black,,,,,,,,,,
Austria,Apple,i14 Pro Max,1 TB,Deep Purple,Gold,Silver,Space Black,,,,,,,,,,
Austria,Apple,i14 Pro Max,128 GB,Deep Purple,Gold,Silver,Space Black,,,,,,,,,,
Austria,Apple,i14 Pro Max,256 GB,Deep Purple,Gold,Silver,Space Black,,,,,,,,,,
Austria,Apple,i14 Pro Max,512 GB,Deep Purple,Gold,Silver,Space Black,,,,,,,,,,
Austria,Apple,i15,128 GB,Black,Blue,Green,Pink,Yellow,,,,,,,,,
Austria,Apple,i15,256 GB,Black,Blue,Green,Pink,Yellow,,,,,,,,,
Austria,Apple,i15,512 GB,Black,Blue,Green,Pink,Yellow,,,,,,,,,
Austria,Apple,i15 Plus,128 GB,Black,Blue,Green,Pink,Yellow,,,,,,,,,
Austria,Apple,i15 Plus,256 GB,Black,Blue,Green,Pink,Yellow,,,,,,,,,
Austria,Apple,i15 Plus,512 GB,Black,Blue,Green,Pink,Yellow,,,,,,,,,
Austria,Apple,i15 Pro,1 TB,Black Titanium,Blue Titanium,Natural Titanium,White Titanium,,,,,,,,,,
Austria,Apple,i15 Pro,128 GB,Black Titanium,Blue Titanium,Natural Titanium,White Titanium,,,,,,,,,,
Austria,Apple,i15 Pro,256 GB,Black Titanium,Blue Titanium,Natural Titanium,White Titanium,,,,,,,,,,
Austria,Apple,i15 Pro,512 GB,Black Titanium,Blue Titanium,Natural Titanium,White Titanium,,,,,,,,,,
Austria,Apple,i15 Pro Max,1 TB,Black Titanium,Blue Titanium,Natural Titanium,White Titanium,,,,,,,,,,
Austria,Apple,i15 Pro Max,256 GB,Black Titanium,Blue Titanium,Natural Titanium,White Titanium,,,,,,,,,,
Austria,Apple,i15 Pro Max,512 GB,Black Titanium,Blue Titanium,Natural Titanium,White Titanium,,,,,,,,,,
Austria,Apple,iSE3,128 GB,(PRODUCT) RED,Midnight,Starlight,,,,,,,,,,,
Austria,Apple,iSE3,256 GB,(PRODUCT) RED,Midnight,Starlight,,,,,,,,,,,
Austria,Apple,iSE3,64 GB,(PRODUCT) RED,Midnight,Starlight,,,,,,,,,,,
Austria,Samsung,S21 FE,128 GB,Graphite,Lavender,Olive,White,,,,,,,,,,
Austria,Samsung,S21 FE,256 GB,Graphite,Lavender,Olive,White,,,,,,,,,,
Austria,Samsung,S22,128 GB,Bora Purple,Green,Phantom Black,Phantom White,Pink Gold,,,,,,,,,
Austria,Samsung,S22,256 GB,Bora Purple,Green,Phantom Black,Phantom White,Pink Gold,,,,,,,,,
Austria,Samsung,S22 Ultra,128 GB,Burgundy,Green,Phantom Black,Phantom White,,,,,,,,,,
Austria,Samsung,S22 Ultra,256 GB,Burgundy,Green,Phantom Black,Phantom White,,,,,,,,,,
Austria,Samsung,S22 Ultra,512 GB,Burgundy,Green,Phantom Black,Phantom White,,,,,,,,,,
Austria,Samsung,S23,128 GB,Cream,Green,Lavender,Phantom Black,,,,,,,,,,
Austria,Samsung,S23,256 GB,Cream,Green,Grey,Lavender,Phantom Black,,,,,,,,,
Austria,Samsung,S23 FE,128 GB,A coin,Cream,Grey,Orange,Purple,,,,,,,,,
Austria,Samsung,S23 FE,256 GB,A coin,Cream,Grey,Orange,Purple,,,,,,,,,
Austria,Samsung,S23 Ultra,256 GB,Cream,Green,Lavender,Phantom Black,,,,,,,,,,
Austria,Samsung,S24,128 GB,Amber Yellow,Cobalt purple,Marble Grey,Onyx Black,,,,,,,,,,
Austria,Samsung,S24,256 GB,Amber Yellow,Cobalt purple,Marble Grey,Onyx Black,,,,,,,,,,
Austria,Samsung,S24 Ultra,1 TB,Titanium Black,Titanium Blue,Titanium Green,Titanium Grey,Titanium Orange,Titanium Violet,Titanium Yellow,,,,,,,
Austria,Samsung,S24 Ultra,256 GB,Titanium Black,Titanium Blue,Titanium Green,Titanium Grey,Titanium Orange,Titanium Violet,Titanium Yellow,,,,,,,
Austria,Samsung,S24 Ultra,512 GB,Titanium Black,Titanium Blue,Titanium Green,Titanium Grey,Titanium Orange,Titanium Violet,Titanium Yellow,,,,,,,
Austria,Samsung,S24+,128 GB,Amber Yellow,Cobalt purple,Marble Grey,Onyx Black,,,,,,,,,,
Austria,Samsung,S24+,256 GB,Amber Yellow,Cobalt purple,Marble Grey,Onyx Black,,,,,,,,,,
Austria,Samsung,Z Flip3,128 GB,Cream,Green,Grey,Lavender,Phantom Black,Pink,White,,,,,,,
Austria,Samsung,Z Flip3,256 GB,Cream,Green,Grey,Lavender,Phantom Black,Pink,White,,,,,,,
Austria,Samsung,Z Flip5,256 GB,A coin,Cream,Grey,Lavender,,,,,,,,,,
Austria,Samsung,Z Flip5,512 GB,A coin,Cream,Grey,Lavender,,,,,,,,,,
Austria,Samsung,Z Fold3,256 GB,Phantom Black,Phantom Green,Phantom Silver,,,,,,,,,,,
Austria,Samsung,Z Fold3,512 GB,Phantom Black,Phantom Green,Phantom Silver,,,,,,,,,,,
Austria,Samsung,Z Fold5,1 TB,Blue,Cream,Grey,Icy Blue,Phantom Black,,,,,,,,,
Austria,Samsung,Z Fold5,256 GB,Cream,Icy Blue,Phantom Black,,,,,,,,,,,
Austria,Samsung,Z Fold5,512 GB,Cream,Icy Blue,Phantom Black,,,,,,,,,,,
Belgium,Samsung,A34,128 GB,Awesome Graphite,Awesome Lime,Awesome Silver,Awesome Violet,Awesome White,,,,,,,,,
Belgium,Samsung,A54,128 GB,Awesome Graphite,Awesome Lime,Awesome Violet,Awesome White,Green,,,,,,,,,
Belgium,Samsung,A54,256 GB,Awesome Graphite,Awesome Violet,Awesome White,Green,,,,,,,,,,
Belgium,Apple,i13,128 GB,(PRODUCT) RED,Blue,Green,Midnight,Pink,Starlight,,,,,,,,
Belgium,Apple,i13,256 GB,(PRODUCT) RED,Blue,Green,Midnight,Pink,Starlight,,,,,,,,
Belgium,Apple,i13,512 GB,(PRODUCT) RED,Blue,Green,Midnight,Pink,Starlight,,,,,,,,
Belgium,Apple,i13 Mini,128 GB,(PRODUCT) RED,Blue,Green,Midnight,Pink,Starlight,,,,,,,,
Belgium,Apple,i13 Mini,256 GB,(PRODUCT) RED,Blue,Green,Midnight,Pink,Starlight,,,,,,,,
Belgium,Apple,i13 Mini,512 GB,(PRODUCT) RED,Blue,Green,Midnight,Pink,Starlight,,,,,,,,
Belgium,Apple,i13 Pro,1 TB,Gold,Graphite,Sierra Blue,Silver,,,,,,,,,,
Belgium,Apple,i13 Pro,128 GB,Gold,Graphite,Sierra Blue,Silver,,,,,,,,,,
Belgium,Apple,i13 Pro,256 GB,Gold,Graphite,Sierra Blue,Silver,,,,,,,,,,
Belgium,Apple,i13 Pro,512 GB,Gold,Graphite,Sierra Blue,Silver,,,,,,,,,,
Belgium,Apple,i13 Pro Max,1 TB,Gold,Graphite,Sierra Blue,Silver,,,,,,,,,,
Belgium,Apple,i13 Pro Max,128 GB,Gold,Graphite,Sierra Blue,Silver,,,,,,,,,,
Belgium,Apple,i13 Pro Max,256 GB,Gold,Graphite,Sierra Blue,Silver,,,,,,,,,,
